,Date,Résidus
2820,2020-01-20,4591.7911960944475
2821,2020-01-21,4646.147173859979
2822,2020-01-22,4661.945853600555
2823,2020-01-23,4210.034785395139
2824,2020-01-24,3037.7048411994765
2825,2020-01-25,-111.41015330723894
2826,2020-01-26,-2730.110995457202
2827,2020-01-27,-1327.3446112704405
2828,2020-01-28,-1211.7847506798134
2829,2020-01-29,-3901.8274768756964
2830,2020-01-30,-5253.926081580765
2831,2020-01-31,-10373.134550380826
2832,2020-02-01,-11464.20540610551
2833,2020-02-02,-12334.36447933421
2834,2020-02-03,-12346.019347464491
2835,2020-02-04,-6008.33672584829
2836,2020-02-05,-5327.2344401140435
2837,2020-02-06,-1578.7126374995569
2838,2020-02-07,-162.39338861162832
2839,2020-02-08,-7294.614535969406
2840,2020-02-09,-7786.200367635145
2841,2020-02-10,-7492.165887247538
2842,2020-02-11,-5012.289994272258
2843,2020-02-12,-4850.103234104725
2844,2020-02-13,-4375.214806353892
2845,2020-02-14,-6363.848012988747
2846,2020-02-15,-8460.930032513555
2847,2020-02-16,-10724.858627609923
2848,2020-02-17,-6908.202585809893
2849,2020-02-18,-5895.271234173313
2850,2020-02-19,-5491.0987134769675
2851,2020-02-20,-5903.767724643956
2852,2020-02-21,-3224.9419518465875
2853,2020-02-22,-4897.953069390205
2854,2020-02-23,-7658.5649587962835
2855,2020-02-24,-8248.671952536359
2856,2020-02-25,-4879.866460062447
2857,2020-02-26,98.57832600090478
2858,2020-02-27,882.385920818153
2859,2020-02-28,1025.7450235363067
2860,2020-02-29,-2530.7769333674514
2861,2020-03-01,212.00220957386045
2862,2020-03-02,2565.180960473459
2863,2020-03-03,2905.2060727860953
2864,2020-03-04,2174.8890243901697
2865,2020-03-05,1995.0823640667804
2866,2020-03-06,2552.146723565602
2867,2020-03-07,2087.8625956297183
2868,2020-03-08,1117.6642638250414
2869,2020-03-09,1855.9390846731112
2870,2020-03-10,-333.54321206270833
2871,2020-03-11,-4936.616876929824
2872,2020-03-12,-2612.0468408163724
2873,2020-03-13,-1029.0649393928034
2874,2020-03-14,-1775.4615363765406
2875,2020-03-15,-1863.3551334060685
2876,2020-03-16,-4539.896738705647
2877,2020-03-17,-7988.844300623823
2878,2020-03-18,-12917.55284943615
2879,2020-03-19,-14531.305011126882
2880,2020-03-20,-13935.85104205639
2881,2020-03-21,-6780.504230010229
2882,2020-03-22,-4875.914220829021
2883,2020-03-23,-9507.77501475405
2884,2020-03-24,-9035.402911276302
2885,2020-03-25,-8084.7300195356
2886,2020-03-26,-6392.637972789475
2887,2020-03-27,-7114.500971998292
2888,2020-03-28,-3757.2839816728956
2889,2020-03-29,819.6813834899367
2890,2020-03-30,-706.0134441057162
2891,2020-03-31,-4035.433965653363
2892,2020-04-01,-5787.2978768854155
2893,2020-04-02,-5506.3102351842535
2894,2020-04-03,-6651.70764760553
2895,2020-04-04,-3054.3572950186863
2896,2020-04-05,-5048.53332536669
2897,2020-04-06,-11138.627338268445
2898,2020-04-07,-12059.728222281403
2899,2020-04-08,-13160.616948968622
2900,2020-04-09,-13801.100954044588
2901,2020-04-10,-13980.557227112855
2902,2020-04-11,-10405.029934341983
2903,2020-04-12,-9200.005118521258
2904,2020-04-13,-15573.119212369376
2905,2020-04-14,-10416.736642167329
2906,2020-04-15,-10483.942143598048
2907,2020-04-16,-10757.872439652405
2908,2020-04-17,-11090.256423399762
2909,2020-04-18,-8517.509692790183
2910,2020-04-19,-6335.506006114912
2911,2020-04-20,-8797.282419362018
2912,2020-04-21,-9145.613408891084
2913,2020-04-22,-9297.999628448844
2914,2020-04-23,-9655.995978108505
2915,2020-04-24,-9857.748156026937
2916,2020-04-25,-7235.083568443646
2917,2020-04-26,-6024.279194752664
2918,2020-04-27,-8808.76319682374
2919,2020-04-28,-7028.685603459162
2920,2020-04-29,-6438.903745788601
2921,2020-04-30,-5396.30714707858
2922,2020-05-01,-9035.351062664631
2923,2020-05-02,-4084.1445689765023
2924,2020-05-03,-2840.215820587444
2925,2020-05-04,-5510.211284953075
2926,2020-05-05,-5846.4643044476325
2927,2020-05-06,-6943.9786783132295
2928,2020-05-07,-7132.751982777452
2929,2020-05-08,-9835.30783767825
2930,2020-05-09,-5148.783028954807
2931,2020-05-10,-3227.6921140023333
2932,2020-05-11,-2202.62632523942
2933,2020-05-12,-1603.822124752267
2934,2020-05-13,-722.1451034354031
2935,2020-05-14,-494.4139412285149
2936,2020-05-15,-927.9336326840275
2937,2020-05-16,-287.5838807016844
2938,2020-05-17,-485.5852765337695
2939,2020-05-18,-3144.200070210245
2940,2020-05-19,-3829.3028708253623
2941,2020-05-20,-3651.3669545598605
2942,2020-05-21,-8724.790879483517
2943,2020-05-22,-5870.434591941383
2944,2020-05-23,-2366.7109061937954
2945,2020-05-24,-2370.354952672933
2946,2020-05-25,-2893.1283748567876
2947,2020-05-26,-3006.3935888277047
2948,2020-05-27,-2947.103756976663
2949,2020-05-28,-2811.1331476455816
2950,2020-05-29,-2777.8170376202834
2951,2020-05-30,-2172.0470108246373
2952,2020-05-31,-2525.044220042051
2953,2020-06-01,-7936.067363123264
2954,2020-06-02,-1792.990659415489
2955,2020-06-03,-1650.297449962738
2956,2020-06-04,-989.4140659880213
2957,2020-06-05,-1059.253096122833
2958,2020-06-06,-920.3118803201214
2959,2020-06-07,-989.448773085016
2960,2020-06-08,-1628.5939046959538
2961,2020-06-09,-969.3297049408066
2962,2020-06-10,-987.8867934432565
2963,2020-06-11,-1068.4798634984036
2964,2020-06-12,-817.8526743067778
2965,2020-06-13,-714.3779661006338
2966,2020-06-14,-1631.8348295898904
2967,2020-06-15,-1778.120249515705
2968,2020-06-16,-1735.8300803407765
2969,2020-06-17,-2056.2550540970406
